time,open,high,low,close,Volume,Volume MA
1546887600,151.24,151.86,150.73,151.41,11832.98235,17623.19532649999
1546891200,151.39,151.69,149.62,150.05,19800.16339,17590.62202499999
1546894800,150.03,150.67,149.19,149.41,10571.37499,16616.91411449999
1546898400,149.39,149.5,147.86,148.65,29587.7194,17367.711804499988
1546902000,148.64,149.5,148.09,149.34,12342.13827,17507.98990999999
1546905600,149.29,150.64,149.16,150.17,16503.15725,17811.81035249999
1546909200,150.17,150.2,148.08,148.61,13900.82874,18039.62852549999
1546912800,148.61,148.78,145.2,146.69,35592.7723,19249.89454049999
1546916400,146.72,147.48,146.23,146.57,14989.19718,19623.705269499995
1546920000,146.57,146.83,145.93,146.53,15281.45706,19312.270900499992
1546923600,146.53,146.8,146.3,146.43,9743.32508,16894.22379099999
1546927200,146.46,146.97,145.78,146.96,15100.09084,16611.41854849999
1546930800,146.97,147.49,146.26,146.83,16002.4607,16524.341309999993
1546934400,146.83,147.75,146.54,147.21,13552.25377,16657.857696499992
1546938000,147.18,148.3,146.51,147.86,23876.61176,17120.930450999993
1546941600,147.85,148.2,147.43,148.06,16645.7855,17065.88203549999
1546945200,148.07,150.17,147.52,149.66,23528.22277,17542.76980949999
1546948800,149.67,150.6,149.01,149.4,24909.95855,18235.28532649999
1546952400,149.37,151.65,149.34,151.15,34407.22184,18755.71864549999
1546956000,151.19,151.26,149.45,149.66,23741.47121,19095.45964749999
1546959600,149.66,151.63,148.02,148.84,37189.62215,20363.291637499988
1546963200,148.85,149.2,147.31,148.18,30374.75113,20892.021024499987
1546966800,148.18,148.94,147.26,147.63,15241.75539,21125.54004449999
1546970400,147.62,148.35,147.38,147.86,8567.45821,20074.52698499999
1546974000,147.86,148.6,147.38,148.25,8335.75898,19874.208020499987
1546977600,148.26,148.84,147.83,147.83,10424.35193,19570.26775449999
1546981200,147.84,148.52,147.4,147.48,11093.32708,19429.89267149999
1546984800,147.49,148.4,147,148,10514.01044,18175.954578499986
1546988400,148.02,148.5,147.22,147.6,12145.21792,18033.755615499987
1546992000,147.62,148.34,146.77,147.65,10308.35095,17785.100309999987
1546995600,147.66,151.5,147.43,150.42,25908.1268,18593.340395999992
1546999200,150.47,151.49,150.2,150.67,25075.85369,19092.12853849999
1547002800,150.67,151.03,149.7,150.31,15711.14117,19077.562561999992
1547006400,150.3,150.9,150.24,150.47,11874.43766,18993.671756499993
1547010000,150.47,150.7,149.13,150.02,13986.59623,18499.17097999999
1547013600,150.02,150.11,149.08,149.6,7823.00597,18058.032003499993
1547017200,149.55,150.37,149.41,149.8,8446.78739,17303.960234499995
1547020800,149.8,149.86,149.03,149.29,9927.3444,16554.829526999994
1547024400,149.25,150.06,149.11,149.43,8009.2409,15234.930479999992
1547028000,149.43,149.87,149.21,149.48,7173.21365,14406.517601999993
1547031600,149.48,150.58,149.41,149.41,9036.37172,12998.855080499992
1547035200,149.45,149.78,148.05,149.03,17156.5494,12337.944993999992
1547038800,149.04,149.04,147.96,148.59,14922.69208,12321.991828499991
1547042400,148.59,148.68,147.5,147.85,15643.13609,12675.775722499991
1547046000,147.88,148.87,147.41,148.26,12898.8651,12903.931028499992
