time,open,high,low,close,EMA
1619173800,49242.6,49654.37,49215.33,49460.68,51152.41484432737
1619175600,49458.72,49927.15,49291.49,49795.97,51099.22092886356
1619177400,49770.56,50260.09,49736.68,50059.21,51058.436186555184
1619179200,50064.75,50287.65,49521.87,49669.41,51003.96457139616
1619181000,49653.49,49892.4,49235.69,49270.71,50935.99380389043
1619182800,49257.54,49467.15,48708.31,48882.11,50855.44934099277
1619184600,48921.8,49235.72,48558.3,49138.29,50788.10975899305
1619186400,49138.27,49465.74,48833.33,49314.14,50730.307023346264
1619188200,49326.98,49928.7,49323.11,49723.27,50690.8153753719
1619190000,49740.2,49744.95,49000,49157.54,50630.68692927888
1619191800,49176.97,49917.51,49176.97,49843.05,50599.799206562064
1619193600,49843.04,50109.36,49483.22,49650.42,50562.568649441986
1619195400,49639.67,49976.22,49488.54,49830.75,50533.86987887563
1619197200,49866.19,50094.11,49550,49969.88,50511.75262872365
1619199000,49972.87,50030.64,49636.36,49844.6,50485.58978053841
1619200800,49847.87,50392.43,49637.98,50374.41,50481.229789144745
1619202600,50367.96,50784,50226.45,50587.64,50485.40273859005
1619204400,50572.61,50661.27,50428.79,50620.6,50490.704591978676
1619206200,50650.01,50888.88,50531.71,50874.88,50505.77029425402
1619208000,50888.54,51253.51,50874.85,51228.59,50534.116165067586
1619209800,51241.92,51289.72,50461.1,50548.72,50534.6888644767
1619211600,50521.44,50943.91,50521.44,50669.08,50539.95910508546
1619213400,50669.08,50734.31,50301.47,50301.47,50530.60659116054
1619215200,50307.91,50612.61,50163.75,50458.58,50527.78201895817
1619217000,50462.33,50728.86,50258.38,50413.19,50523.28821429314
1619218800,50456.46,50883.14,50456.46,50825.76,50535.149852948314
1619220600,50809.02,51130.97,50711.59,51121.61,50558.14829008759
1619222400,51125.96,51186.03,50066.66,50066.66,50538.87423949592
1619224200,50106.38,50288.66,49581.93,49872.23,50512.73132814314
1619226000,49967.21,50046.18,49705.37,49859.17,50487.101472137525
1619227800,49860,49996.7,49704.73,49723.71,50457.164551661546
1619229600,49732.46,49830.41,49344.9,49793.62,50431.14319669443
1619231400,49835.84,50354.02,49776.27,50081.38,50417.42699290249
1619233200,50086.68,50270.9,50024.48,50230.83,50410.109463769055
1619235000,50234.49,50444.7,50077.38,50105.98,50398.182818131056
1619236800,50095.29,50381.38,49917.59,50174.29,50389.402707616115
1619238600,50143.79,50611.11,50143.77,50441.25,50391.43593476842
1619240400,50428.66,50516.41,50187.41,50283.28,50387.19452556182
1619242200,50230.72,50530.42,50230.72,50475.31,50390.650034363316
1619244000,50512.98,50512.98,50311.52,50379.66,50390.21905262358
1619245800,50386.34,50432.76,50165.36,50214.21,50383.31673683442
1619247600,50203.34,50203.34,49675.18,49908.54,50364.69804127229
1619249400,49908.5,50009.57,49722.32,49807.51,50342.847529849845
1619251200,49754.98,50141.56,49711.35,50010.57,50329.81703848318
1619253000,49983.17,50210.52,49742.38,49742.38,50306.780291876
1619254800,49750.01,49750.01,49445.7,49527.44,50276.2179274887
1619256600,49542.79,49777.77,49500,49503.22,50245.904283273456
1619258400,49506.01,49506.01,49012.36,49194.16,50204.6594094196
1619260200,49132.07,49380.32,48955.55,49028.18,50158.52296199138
1619262000,49007.74,49499.99,48741.03,49339.68,50126.411473285836
1619263800,49360.28,49500,48675.17,49076.11,50085.223180215806
1619265600,49060.1,49481.56,48931.69,49430.48,50059.54697707009
1619267400,49412.31,49768.16,49296.5,49544.13,50039.33454659675
1619269200,49551.36,49739.88,49352.6,49577.29,50021.21515261257
1619271000,49528.26,49717.57,49451.41,49566.04,50003.36514662776
1619272800,49502.45,49509.73,49131.45,49324.39,49976.738670289415
1619274600,49338.38,49533.32,49219.27,49304.34,49950.37009498395
1619276400,49276.58,49672.57,48936.41,49672.56,49939.47558145517
1619278200,49672.57,50334.69,49672.57,50211.96,49950.16124492751
1619280000,50220.33,50288.61,49881.98,50002.62,49952.21845100879
1619281800,49970.2,50189,49849.62,49906.27,49950.41655096923
1619283600,49884.57,49993.54,49659.45,49908.49,49948.77237249985
1619285400,49933.06,50142.5,49839.06,50111.63,49955.15894612731
1619287200,50137.25,50786.63,49982.49,50692.73,49984.08330118114
1619289000,50682.95,50776.67,50493.49,50592.84,50007.95611289953
1619290800,50592.84,50862.59,50574.83,50835.98,50040.42763788386
1619292600,50832.54,50890.16,50579.43,50676.58,50065.374789339396
1619294400,50722.46,50834.16,50546.47,50834.16,50095.52322897314
1619296200,50834.16,50972.68,50712.32,50885.31,50126.49525920949
1619298000,50939,50969.11,50635.43,50868.91,50155.6095627699
1619299800,50868.91,50987.35,50731.5,50855.71,50183.064481876965
1619301600,50883.34,50928.88,50475.17,50536.25,50196.914894352376
1619303400,50532.3,50768.1,50262.85,50324.69,50201.925682809146
1619305200,50307.62,50513.74,50242.22,50323.48,50206.69251877742
1619307000,50343.31,50476.9,49929.57,50042.37,50200.248498433204
1619308800,50082.49,50294.6,49864.62,50086.19,50195.775616141706
1619310600,50055.06,50163.7,49733.58,49816.79,50180.91343511654
1619312400,49842.72,50241.94,49814.38,50228.11,50182.76428079825
1619314200,50222.8,50298.77,50089.94,50179.55,50182.63823057087
1619316000,50150.7,50443.97,50144.27,50397.55,50191.0661430975
1619317800,50383.02,50383.02,50143.08,50293.29,50195.07492179956
1619319600,50313.03,50315.25,49853.87,49973.02,50186.36688565056
