time,open,high,low,close,EMA
1619380800,49332.05,49595.38,47894.46,48088.7,50111.63108791307
1619384400,48098.58,48356.85,46957.72,47590.46,50012.761633485105
1619388000,47593.51,48817.12,47512.79,48692.64,49960.99215766216
1619391600,48696.33,49180.33,48505.49,49063.82,49925.80893579305
1619395200,49082.7,50965.51,48777.77,50888.91,49963.57760497764
1619398800,50904.11,51978.25,50463.98,51909.59,50039.89181654714
1619402400,51932.77,52562.93,51721.04,51965.2,50115.39409825118
1619406000,51971.16,52410.08,51852.78,52383.27,50204.33040812368
1619409600,52406.12,52710.34,52047.23,52305.77,50286.73980388353
1619413200,52305.77,52555.55,52089.01,52531.75,50374.77941941751
1619416800,52562.91,53041.64,52426.4,52848.5,50471.78806963643
1619420400,52842.2,52952.99,52465.52,52833.92,50564.42069435657
1619424000,52805.83,52919.58,52524.52,52595.39,50644.066549479845
1619427600,52590.12,53531.78,52309.31,53431.74,50753.38707695122
1619431200,53454.54,53514.13,53128.61,53235.26,50850.7154268747
1619434800,53224.3,53684.43,53224.3,53600.61,50958.55442974236
1619438400,53595.5,53936.78,53428.27,53487.09,51057.71268739952
1619442000,53497.62,53894.84,53227.8,53666.02,51159.999248677974
1619445600,53655.79,53838.11,53388.41,53539.33,51253.30633696511
1619449200,53551.36,53701.18,53269.19,53566.74,51344.02922571158
1619452800,53578.23,53750,52861.92,53302.04,51420.813961958185
1619456400,53282.76,54333.33,53282.76,54055.87,51524.14949286178
1619460000,54051.82,54280.32,53900.64,54250,51631.045591180926
1619463600,54259.75,54299.68,53716.52,54036.6,51725.38105819344
1619467200,54013.27,54013.27,53192.35,53192.75,51782.92493826428
1619470800,53185.97,53492.2,52615.53,53355.91,51844.6106269598
1619474400,53354.14,54234.34,52880.48,53587.34,51912.95295531432
1619478000,53546.68,54046.91,53448.28,54019.14,51995.548525694154
1619481600,53991.9,54147.74,53537.63,53668.09,52061.13838743164
1619485200,53644.98,53828.07,53588.73,53823.57,52130.253352630396
1619488800,53761.05,53991.64,53738.66,53803.43,52195.86812311548
1619492400,53800,53812.5,53315.26,53452.8,52245.15956926781
1619496000,53439.1,53583.49,53248.44,53467.15,52293.080762629856
1619499600,53436.85,53975.45,53430.03,53923.23,52357.0081837032
1619503200,53897.65,54941.19,53897.65,54709.51,52449.263156891306
1619506800,54710.38,54857.73,54343.98,54544.58,52531.43244485635
1619510400,54557.1,54989.75,54383.77,54467.91,52607.372741136496
1619514000,54428.73,54692.56,54328.91,54488.58,52681.14557481742
1619517600,54484.32,54762.99,54439.59,54697.61,52760.22261109909
1619521200,54702.06,55244.38,54650,55149.14,52853.90564595795
1619524800,55200.71,55276.21,54767.7,54847.91,52932.101895136075
1619528400,54849.05,55037,54437.5,54725.76,53002.44142866015
1619532000,54733.7,55062.59,54373.66,54946.96,53078.69705890877
1619535600,54994.89,55302.64,54827.93,54977.28,53153.15129189274
1619539200,55019.3,55080.49,54547.32,54670.94,53212.672417700865
1619542800,54678.97,54935.73,54243.98,54854.92,53277.07428367338
1619546400,54876.33,54989.35,54622.08,54960.66,53343.09725294109
1619550000,54969.04,54971.49,54618.6,54753.82,53398.41971361006
1619553600,54767.88,55169.59,54767.88,55115.41,53465.75266601751
1619557200,55137.41,55447.05,54811.13,55278.38,53536.83609087957
1619560800,55253.02,55325.46,54903.25,54931.87,53591.54330300194
1619564400,54938.53,55046.26,54755.09,55008.96,53647.12827151167
1619568000,55012.03,55471.48,55007.14,55373.35,53714.82324125631
1619571600,55374.34,55726.6,55295.1,55486,53784.2811533639
1619575200,55472.36,55634.02,55175.8,55198.27,53839.73169636924
1619578800,55159,55275.15,54800.2,54800.2,53877.39712004104
