time,open,high,low,close,EMA
1620072000,3301.64,3305.73,3245.56,3284.26,3051.4876550601707
1620075600,3283.65,3333,3268.18,3331.01,3062.449315646046
1620079200,3331.01,3399,3331.01,3383.06,3075.022283659927
1620082800,3383.06,3454,3366.56,3431.04,3088.9837627320867
1620086400,3431.04,3450,3210,3260.06,3095.692634781809
1620090000,3260.74,3329.97,3249.51,3282.13,3103.003904006052
1620093600,3282.13,3304.48,3216.81,3225.57,3107.810417574442
1620097200,3225.57,3267.03,3180.61,3232.25,3112.6904011989736
1620100800,3232.4,3353.61,3219.1,3348.26,3121.928424681367
1620104400,3348.26,3400,3334.46,3379.37,3132.024172733078
1620108000,3379.02,3403.99,3339.15,3352.45,3140.668322821977
1620111600,3352.45,3381.34,3310.06,3313.63,3147.4511336917035
1620115200,3314,3343.3,3276.7,3304.07,3153.593050017519
1620118800,3304.07,3373.92,3303.92,3336.85,3160.7795970756556
1620122400,3336.99,3438,3335.87,3435.88,3171.5678481707278
1620126000,3435.7,3487,3382.29,3480.01,3183.6636188306993
1620129600,3480.01,3492.77,3413,3484.36,3195.455633778515
1620133200,3484.27,3527,3450,3479.83,3206.6075697087695
1620136800,3479.98,3492,3339.6,3370.61,3213.0390375633274
1620140400,3370.61,3394.94,3213.35,3228.49,3213.644957658883
1620144000,3228.36,3293.15,3160,3267.18,3215.744371084025
1620147600,3266.6,3336.46,3257.73,3335.22,3220.4296898650437
1620151200,3335.22,3398.12,3310.05,3381.45,3226.7442118311205
1620154800,3381.23,3412.91,3351.81,3412.9,3234.0444388181354
1620158400,3412.91,3429.31,3339.98,3403,3240.6701470997773
1620162000,3402.89,3410.93,3323.2,3332.82,3244.283866821355
1620165600,3332.8,3350,3250.28,3311.84,3246.9331269460076
1620169200,3311.82,3323.35,3216.47,3239.01,3246.62241608538
1620172800,3239.01,3336.64,3200.23,3310.46,3249.125850748698
1620176400,3310.46,3385,3309.78,3369.5,3253.8464056212983
1620180000,3369.51,3371.77,3305,3317,3256.323017165561
1620183600,3316.95,3326.98,3265,3296.34,3257.8923106100488
1620187200,3296.78,3323.76,3251.06,3262.35,3258.0671219586743
1620190800,3262.35,3297,3241.5,3281.64,3258.9915485485303
1620194400,3281.7,3283.07,3223,3264.4,3259.203644683882
1620198000,3264.03,3357.53,3247.33,3339.51,3262.352913519808
1620201600,3339.51,3379.51,3316.56,3352.27,3265.879073773933
1620205200,3352.29,3385.82,3322.74,3377.59,3270.2598944102497
1620208800,3377.59,3407.63,3351.64,3381.52,3274.623035805926
1620212400,3381.53,3385.73,3339.31,3352.65,3277.6829167547135
1620216000,3352.64,3388.58,3350.78,3369.98,3281.302410215313
1620219600,3369.99,3385.22,3356.59,3374.27,3284.948198050007
1620223200,3374.27,3385.03,3281.63,3341.08,3287.1494451853005
1620226800,3341.13,3353.4,3296.27,3305.9,3287.8847610603866
1620230400,3305.79,3456.3,3280.62,3451.87,3294.315554744293
1620234000,3451.88,3452,3395.06,3398.69,3298.408670244517
1620237600,3399.01,3420,3396.44,3416.62,3303.0444086663006
1620241200,3416.62,3483,3415.63,3480.84,3310.016784797034
1620244800,3480.5,3484.88,3412.25,3459.32,3315.8718128442088
1620248400,3459.06,3466.32,3420,3426.36,3320.2046829287497
1620252000,3426.36,3537.13,3426.02,3521.4,3328.0946953629164
1620255600,3521.03,3549.34,3494.09,3524.26,3335.7874524075078
1620259200,3524.33,3539.2,3449.22,3475.65,3341.2722581954486
1620262800,3475.64,3495.62,3440.17,3475.07,3346.5192284622935
1620266400,3474.98,3505.01,3460.55,3484.63,3351.935337150047
1620270000,3484.62,3484.63,3448.12,3469.18,3356.5331670657315
1620273600,3469.17,3502,3431.7,3440.35,3359.8201016906046
1620277200,3440.36,3464.33,3424.86,3451.19,3363.4032349576396
1620280800,3451.18,3451.18,3382,3392.99,3364.5635002534186
1620284400,3393,3445.71,3376.47,3439.2,3367.4904218121083
1620288000,3439.14,3456.89,3422.64,3433.46,3370.0774640939862
1620291600,3433.45,3469.07,3419.21,3459.31,3373.5767792275556
1620295200,3459.31,3501,3440.13,3483.94,3377.904748669612
1620298800,3483.93,3525.21,3468.07,3523.15,3383.600640878647
1620302400,3523.28,3528,3476.49,3492.12,3387.8563020206607
1620306000,3492.12,3494.1,3461.2,3481.47,3391.5274274316153
1620309600,3481.48,3516.53,3460,3507.9,3396.091057728415
1620313200,3507.8,3577.76,3507.7,3551.25,3402.1757221312223
1620316800,3551.26,3605.4,3527.97,3538.71,3407.530007537841
1620320400,3538.72,3593.24,3538,3543.44,3412.859811163808
1620324000,3543.44,3553.54,3400.2,3457.2,3414.5986420985605
1620327600,3457.15,3500.1,3407.58,3482.07,3417.2445777025387
1620331200,3482.06,3490.44,3434.55,3464.71,3419.105966812243
1620334800,3464.7,3520.11,3458,3516.43,3422.922595564704
1620338400,3516.99,3541.15,3502.55,3530.18,3427.128768287657
1620342000,3530.18,3531.83,3480.22,3489.73,3429.583718550886
1620345600,3489.74,3536.18,3458,3493.86,3432.104357039086
1620349200,3493.79,3505.55,3450,3460.32,3433.210852841475
1620352800,3460.31,3473.72,3401.06,3432.27,3433.1739566516135
1620356400,3432.27,3448.03,3398.29,3424.01,3432.8145858025305
1620360000,3424,3425,3353.23,3420.93,3432.348523614196
1620363600,3420.93,3425.92,3397.96,3413.24,3431.5991697469726
1620367200,3413.39,3448,3398,3439.72,3431.917633678464
1620370800,3439.73,3480,3422.56,3434.17,3432.0059617695047
1620374400,3434.09,3443.32,3408.04,3434.88,3432.118669151093
1620378000,3434.59,3471.15,3431.23,3462.98,3433.3289174196775
1620381600,3462.98,3475.9,3446.85,3447.89,3433.8999402659647
1620385200,3448,3468.88,3425.13,3443.48,3434.2756288829855
1620388800,3442.93,3498.7,3423,3493.46,3436.5965846130644
1620392400,3493.47,3515,3477.81,3494.99,3438.8865224713754
1620396000,3494.99,3506,3472,3503.21,3441.4090117862233
1620399600,3503.21,3570,3495.46,3560.93,3446.096109363234
1620403200,3560.93,3587,3532.03,3546.44,3450.0311638980093
1620406800,3546.62,3570,3522,3534.76,3453.3538633529893
1620410400,3534.77,3538.14,3512.62,3526.06,3456.20508439797
1620414000,3525.9,3533.76,3498.28,3512.59,3458.416257558834
1620417600,3512.59,3525.62,3476.04,3497.2,3459.937188634958
1620421200,3497.17,3497.8,3455.7,3475.89,3460.562789080646
1620424800,3475.83,3499,3421.11,3443,3459.874052253954
1620428400,3442.19,3489,3438.59,3479.53,3460.6448737341907
1620432000,3479.79,3524,3449.27,3523.02,3463.0909571171637
1620435600,3523.02,3556.77,3516.43,3528.17,3465.6430764459024
1620439200,3528.25,3548.17,3509.86,3531.41,3468.2221714872394
1620442800,3531.4,3542.85,3522.04,3532.1,3470.727184370093
1620446400,3531.64,3580,3524,3562.84,3474.339451649697
1620450000,3562.84,3564.45,3527.08,3535.39,3476.7335908006894
1620453600,3535.4,3541.32,3507.9,3522.14,3478.5142342987015
1620457200,3522.14,3546.89,3506.22,3527.87,3480.4497545222816
1620460800,3527.87,3584,3525.21,3556.13,3483.4176072861137
1620464400,3556.13,3573.93,3536.84,3562.54,3486.52044621607
1620468000,3562.54,3567.57,3525,3535.53,3488.4423895017144
1620471600,3535.52,3550,3523.03,3540.24,3490.4736683447845
1620475200,3540.54,3572.41,3526.38,3562.97,3493.3166617430284
1620478800,3562.98,3651.8,3555.17,3644.12,3499.2305181452625
1620482400,3644.12,3676.29,3640.82,3669.12,3505.892850767017
1620486000,3669.47,3680.12,3605.18,3631.16,3510.80528799184
1620489600,3632.01,3830,3631.75,3780.8,3521.3933159137287
1620493200,3780.8,3838.36,3760.55,3833.52,3533.633578034759
1620496800,3833.74,3847,3800.68,3815.15,3544.6734377196703
1620500400,3815.16,3831,3774.44,3811.84,3555.150557809095
1620504000,3811.84,3864.31,3801.19,3845.28,3566.5281829930523
1620507600,3845.28,3900,3837.77,3899.68,3579.5929601305797
1620511200,3899.99,3958.33,3837.37,3875.79,3591.208530321537
1620514800,3875.79,3911.52,3841.18,3910.26,3603.720352661869
1620518400,3910.26,3912.45,3827,3835.21,3612.7983780476784
1620522000,3835.21,3893.54,3815.02,3883.55,3623.4160887124754
1620525600,3883.56,3883.85,3853.72,3876.94,3633.3582028806136
1620529200,3876.94,3958,3870,3870.09,3642.641802767648
1620532800,3870.09,3913.69,3819.99,3896.88,3652.611928149309
